עבודה,מדגם,תאריך קבלה,תאריך דיגום,תאריך סיום,שם חומר,אזור,ישוב,מגדל,חלקה,חלק חומר,בור,עומק ישן,עומק מ-,עומק עד,גידול,זן,כנה,הערת מדגם,רוויה %,pH,מוליכות חשמ. dS/m,"כלוריד מא""ק/ל'","נתרן מא""ק/ל'","סידן+מגניון מא""ק/ל'",--,--,SAR,--,גיר כללי %,גיר פעיל %,--,חול %,סילט %,חרסית %,מרקם קוד,--,--,"קק""ח מאק/100ג'","ESP % מ-קק""ח",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-
28812,10794,13/07/2017,13/07/2017,19/07/2017,קרקע ומצעים,עמק הירדן,בית זרע,"אבוקדו שניעצים אגש""ח",חלקה 71,קרקע,1,1,0,30,אבוקדו,,,,47.1,7.6,0.94,2.88,5.44,4.98,,,3.45,,16.765,,,54,17.2,28.8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28812,10795,13/07/2017,13/07/2017,19/07/2017,קרקע ומצעים,עמק הירדן,בית זרע,"אבוקדו שניעצים אגש""ח",חלקה 71,קרקע,5,1,0,30,אבוקדו,,,,51.68,7.6,0.56,1.3,2.667,3.46,,,2.03,,12.896,,,54,15.2,30.8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28812,10796,13/07/2017,13/07/2017,19/07/2017,קרקע ומצעים,עמק הירדן,בית זרע,"אבוקדו שניעצים אגש""ח",חלקה 71,קרקע,5,2,30,40,אבוקדו,,,,34.11,7.5,0.71,2.1,3.778,3.56,,,2.83,,8.382,,,82,3.2,14.8,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28812,10797,13/07/2017,13/07/2017,19/07/2017,קרקע ומצעים,עמק הירדן,בית זרע,"אבוקדו שניעצים אגש""ח",חלקה 71,קרקע,6,1,0,30,אבוקדו,,,,56.8,7.6,0.56,1.22,3.333,3.08,,,2.69,,24.18,4.18,,50,15.2,34.8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28812,10798,13/07/2017,13/07/2017,19/07/2017,קרקע ומצעים,עמק הירדן,בית זרע,"אבוקדו שניעצים אגש""ח",חלקה 71,קרקע,6,2,30,45,אבוקדו,,,,67.18,7.6,0.61,1.66,3.778,2.6,,,3.31,,43.524,14.65,,46,7.2,46.8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28812,10799,13/07/2017,13/07/2017,19/07/2017,קרקע ומצעים,עמק הירדן,בית זרע,"אבוקדו שניעצים אגש""ח",חלקה 71,קרקע,8,1,0,50,אבוקדו,,,,64.15,7.5,0.93,3.88,5.08,4.9,,,3.25,,23.535,0.56,,44,19.2,36.8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28812,10800,13/07/2017,13/07/2017,19/07/2017,קרקע ומצעים,עמק הירדן,בית זרע,"אבוקדו שניעצים אגש""ח",חלקה 71,קרקע,8,2,50,120,אבוקדו,,,,110.5,7.4,1.05,4.68,5.56,5.62,,,3.32,,27.726,2.51,,60,15.2,24.8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28812,10801,13/07/2017,13/07/2017,19/07/2017,קרקע ומצעים,עמק הירדן,בית זרע,"אבוקדו שניעצים אגש""ח",חלקה 71,קרקע,10,1,0,30,אבוקדו,,,,85.29,7.4,0.88,2.2,3.778,6.36,,,2.12,,17.732,,,22,21.2,56.8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28812,10802,13/07/2017,13/07/2017,19/07/2017,קרקע ומצעים,עמק הירדן,בית זרע,"אבוקדו שניעצים אגש""ח",חלקה 71,קרקע,10,2,30,60,אבוקדו,,,,86.57,7.3,2.67,10.92,11.421,15.9,,,4.05,,20.956,7.13,,20,11.2,68.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28812,10803,13/07/2017,13/07/2017,19/07/2017,קרקע ומצעים,עמק הירדן,בית זרע,"אבוקדו שניעצים אגש""ח",חלקה72,קרקע,12,1,0,50,אבוקדו,,,,82.73,7.7,0.65,1.76,3.704,3.04,,,3,,18.054,,,14,21.2,64.8,1,,,68.2,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28812,10804,13/07/2017,13/07/2017,19/07/2017,קרקע ומצעים,עמק הירדן,בית זרע,"אבוקדו שניעצים אגש""ח",חלקה72,קרקע,12,2,50,100,אבוקדו,,,,87.48,7.7,1.02,5.12,7.24,3.88,,,5.2,,18.699,,,16,17.2,66.8,1,,,66.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28812,10805,13/07/2017,13/07/2017,19/07/2017,קרקע ומצעים,עמק הירדן,בית זרע,"אבוקדו שניעצים אגש""ח",חלקה72,קרקע,12,3,100,190,אבוקדו,,,,108.1,7.8,1.4,7.6,10.158,5.38,,,6.19,,22.246,7.42,,14,17.2,68.8,1,,,67.1,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28812,10806,13/07/2017,13/07/2017,19/07/2017,קרקע ומצעים,עמק הירדן,בית זרע,"אבוקדו שניעצים אגש""ח",חלקה72,קרקע,17,1,0,50,אבוקדו,,,,80.72,7.7,0.76,2.02,3.556,4.44,,,2.39,,18.377,,,18,17.2,64.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28812,10807,13/07/2017,13/07/2017,19/07/2017,קרקע ומצעים,עמק הירדן,בית זרע,"אבוקדו שניעצים אגש""ח",חלקה72,קרקע,17,2,50,70,אבוקדו,,,,88.7,7.6,1.36,7.68,8.2,6.6,,,4.51,,19.022,,,16,13.2,70.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
